unique_identifier,usage,status
0105e73dbb65f6a0d9e647159a7cca60,36840.0,ACTIVE
010620ab6219c3ebe37dd74dc4fd19fe,14876.0,ACTIVE
01067c2818d3c788d69bf22a3784cc37,6452.0,ACTIVE
0106d04124cadffd238240491a1c9ff1,122000.0,FINALLED
010a6e1bc71e888f535ad098997783c5,6068.0,FINALLED
010b7339bb1852f2bae6e2da62940b4d,7075.0,ACTIVE
010e55babc08b45a4afe15338e28b8c5,44613.0,FINALLED
010edba289c772a4865b0b123448c959,77979.0,ACTIVE
011079dd6380afba532af89c66288c00,10650.0,ACTIVE
01115897bb3adaba54b5d729355dbc12,34071.0,FINALLED
01122feb0acdb52656861e7b89d282ac,2451.0,ACTIVE
0112a5b7278355b43aa89962f3a71e30,21539.0,ACTIVE
01160fea73642a834b05c666c722bd98,222912.8,FINALLED
0116269627f58ef399ad538f9fb6183f,14351.0,FINALLED
01179b6a0a6fffc0245ed975fc8f38fa,11172.0,ACTIVE
0119147f178f287266fce2a706517d70,32125.0,ACTIVE
01199808dbdef99e2d8b76837e218426,69870.0,ACTIVE
0119fdbcb8c8b99de70f5320585e8a18,16262.0,ACTIVE
011b80101341e24489a69bd559485000,936206.0,FINALLED
011c7b2b1b13b9b472e005a71c6e38b9,9130.0,ACTIVE
011d039d4b47fe32ece81c6d1f3fd413,34356.0,ACTIVE
011edbbf0205154923f74b893a6ce45d,71680.0,ACTIVE
011f027de073359b56bee69ed06af71c,144000.0,FINALLED
011f868114d3410a5087196a6726d1ae,12324.0,ACTIVE
011fb19e0e825ea1e15a1ca4ff806849,39870.0,FINALLED
01201c96b90354ea7e3b6b4ac267cfcd,71800.0,FINALLED
0121428a469738a27f87f9cdeb9c21ba,19113.0,FINALLED
0122a7c7a2e547488288366d390d6b2b,39000.0,FINALLED
01241c2871ff691a95eae9e464b51a0b,94745.0,FINALLED
0127b147ae86cebd1db9b104e851f51e,10103.0,ACTIVE
0127ea1b6be087c1567bd06f705badbe,774020.0,ACTIVE
012871752f8b18a84e9a64da87b6cb92,7134.0,FINALLED
0129482eff0289982db6c9b8703e288f,6698.0,FINALLED
012a4f1ca14b2acda182a2099a107f34,36360.0,ACTIVE
012b13a77147f071da0deb64064c6b08,14610.0,ACTIVE
012b86ca49fe90c6bb88fb202a139e9e,9237.0,FINALLED
012c5173220730d07275b24533267ec8,147789.1,FINALLED
012dde0dc65804b3cffb493196ec1d24,4823.0,FINALLED
01301a469f49fd9a9f6a188e0a287eb2,15411.0,ACTIVE
01332c52baa70176ce07a17114a0a23c,76670.0,ACTIVE
01359c53f412ecd457098c55a93f8269,56240.0,ACTIVE
0135c7f43b583d42eadbf09fc68fc1ea,60660.0,FINALLED
013796c8019eedc8648bf0fd78b0fa65,26926.0,ACTIVE
0137a8414f681ba3b0b10ae137a2caff,6827.0,FINALLED
013861d6100161f1df7cce5d324f9c46,319600.0,ACTIVE
013864cc40aa9d744042ade1c9b0c1c5,47680.0,ACTIVE
0138b31bdb55dfe1120cb7cb84d44b27,15024.0,ACTIVE
0138ee99bc66e3eb18d5fa5bb73b566e,7737.0,ACTIVE
013b69ea8725678ba966171c9a3d69bc,359100.0,FINALLED
013ca981dddb706a00eb18d3906c3bbe,38191.0,ACTIVE
013eb1a8c0d5dac66b8523407c23872f,24819.0,FINALLED
013ec72454549ca5075412ece4c054de,22700.0,FINALLED
0142266ef4ba9cbff9d5e2e9e14e0335,45335.0,ACTIVE
014270ae7281699891fb3600882e4c31,1795.0,ACTIVE
01435468cc28b41822e82599e57c8ef4,7974.0,ACTIVE
0143589561a296aba80b9edd4444ec5e,5164.0,ACTIVE
01437555539360c9a6786bfdc1bc381d,36367.0,FINALLED
0143f20db0130e6fae5e78d1228d2761,3887.9,FINALLED
0144f2b49303a196303a1230d97d5896,12593.0,FINALLED
0146aaaa5fc924e2b74bac7363ab9a94,78720.0,FINALLED
01488995b8786099735e2b6de415e2dc,16563.0,FINALLED
01496339a89c68ffdae56f9a41b510f9,22208.0,ACTIVE
0149cc6e18739d83e430e335367ee7e2,6276.0,FINALLED
014c0cbc290ed4a6c597ed1ef5053595,23946.0,ACTIVE
014d25219c9275dec0a46b4567ef0df0,1860.0,ACTIVE
014d308911580c79a091f4b356de10d8,2620.0,FINALLED
014e4e5d89bace9a34d2b8df14898130,12275.0,ACTIVE
014e669ec9479e7970e4f7e259948e08,7813.0,FINALLED
014e7c6aa29bb7ebb51f83db40aa2a6b,15339.0,FINALLED
014e8468f8972dd4dbf2b34ecaa57e72,15700.0,FINALLED
0152f5a0fa0c2e8a63bdc200d55ed8ec,99042.0,FINALLED
01550cd3822fac2c25769fc0b7bc6ae8,240.0,ACTIVE
0155353be482cb7e8bd61f0b4ca958f1,63013.0,ACTIVE
01557fce4506dd9b2e5c5ae6778b7888,13436.0,ACTIVE
0157ade4f6ffaa118c0b69ddbbf3318b,134440.0,ACTIVE
0157c5b515e4ef7f0ddd814111b45075,754.0,ACTIVE
01582df76138f3caea6ca42a38e87103,1655.0,ACTIVE
015931777bb735124368c69057f61bca,102.0,FINALLED
015bb45a33b2b74ad69e30f99bb43fc7,69302.0,ACTIVE
015d0a7a96a71d4d02ca723be4e9d51a,38240.0,FINALLED
015f62e1f4c2faa7815e9868ef8d0503,29301.0,ACTIVE
015fcc26a6532a03614ae7652e8f5ab4,41048.0,FINALLED
015ff0e419f04ca7999a2045db20d1ce,9836.0,FINALLED
0160edea7aa1a97c28871398802e49ee,234879.7,ACTIVE
016111dbdd04397c7038b794812100b8,72930.1,FINALLED
0163dc0cfa8a8750999a9fe74437a1a3,44647.0,FINALLED
0164118c0fd50b328ec7e8e87153763d,956.0,FINALLED
0164be69d2f8d691c91e6b2a576f77bf,374300.0,ACTIVE
0164c0734d78acb396444a525910de80,34854.0,FINALLED
016766321f45f5c87d9178b0103887dd,105772.0,ACTIVE
0167d1f33f637e11350a2d6781058c46,34913.0,FINALLED
01692e62c59dd36098497f77e35bca88,89927.0,ACTIVE
01695e99f31a47a24c558774d442a811,219200.0,FINALLED
016a14882ddc11626f285717d3ee9676,963.0,FINALLED
016ba1e53ec469c9bf3a44829579b24b,79125.0,FINALLED
016e24defb65e4e1ff3e369649f9674f,8940.3,ACTIVE
0171f86ff251e086ecd21f6c547bc744,129986.6,FINALLED
017360ac4b9a5f4c31ab4b50b0883309,22312.0,ACTIVE
01777d347b382a3b9787a59341d8581b,140160.0,ACTIVE
