unique_identifier,usage,usage_range,PA,IL,TX,OH,MA,MD,NJ,NY,CT,B2B_ACCOUNTING_EXPENSE_CODE,B2B_ADVERTISING_EXPENSE_CODE,B2B_BIG_BUSINESS_INDICATOR,g_grow,s_grow,c_grow,B2B_BUSINESS_SQUARE_FOOT_NUM,B2B_COMPUTER_EXPENSE_CODE,B2B_CONTRACT_LABOR_EXPENSE_CODE,B2B_CREDIT_GRADE,B2B_EMPLOYEE_SIZE,B2B_EXPENSE_TYPE,B2B_HIGH_TECH_FLAG,B2B_INSURANCE_EXPENSE_CODE,B2B_LEGAL_EXPENSE_CODE,B2B_MEDIUM_SIZE_FLAG,B2B_MULTI_TENANT_DESCRIP,B2B_PAYROLL_EXPENSE_CODE,production_year,B2B_PURCHASE_ADMIN_EXPENSE_CODE,B2B_PURCHASE_PRINT_EXPENSE_CODE,B2B_REST_LEASE_EXPENSE_CODE,B2B_SALES_VOLUME,B2B_SMALL_SIZE_FLAG,B2B_TELECOMMUNICATIONS_CODE,B2B_TENANT_FLAG,B2B_UTILITY_CODE,B2B_WHITE_COLLAR_FLAG,Business_and_Finance,General_Merchandise,Hotels_and_Educational_Boarding,Personal_Services,Auto,Food_and_Dining,Amusement_and_Recreation_Services,Wholesale,Blue_Collar_Work,Manufacturing,Public_Health_and_Social_Services,Real_Estate
b6cfe29f47d91a1900797e84382df2d6,5160.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2,0,5,0,1,0,0,0,0,3,0,9,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
b6d32ca543cff040274991730a57958a,9298.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,0,1,0,0,1,0,1,0,9,0,4,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
b6d37b8f745ade820e6ae94de5aa0f5f,1085.0,1,0,0,0,0,1,0,0,0,0,2,1,0,0,0,1,0,2,1,3,0,1,0,2,1,0,3,1,9,3,0,1,0,1,1,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0
b6d37c76d748125b0f041375a9f1ddee,411782.2,5,0,0,1,0,0,0,0,0,0,3,3,0,0,0,1,1,2,1,3,2,1,0,3,2,1,3,2,9,2,1,1,1,0,1,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0
b6d57b085f154157b6a90fe173fde096,24608.0,2,0,0,0,1,0,0,0,0,0,7,7,0,0,0,1,0,7,7,6,0,1,0,7,7,0,3,7,9,7,7,7,11,0,7,3,7,0,0,0,0,1,0,0,0,0,0,0,0,0
b6d778945cfd5b4660b1d038851675b3,4517.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,5,0,1,0,0,1,0,1,0,9,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
b6d82138e9990f3d9887a4a8cdd5c466,30300.0,3,0,0,0,1,0,0,0,0,0,5,3,0,0,0,0,2,5,1,0,1,1,0,5,5,0,3,4,2,3,4,3,4,0,3,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0
b6d97ce18af27602a66eef42ad358a87,1233.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,3,0,1,0,0,2,0,1,0,9,1,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
b6da3ff5d246dd61512e43fd7a493a74,10029.0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,4,1,0,0,1,0,1,3,0,0,1,9,1,0,2,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
b6db482e82f52f5e278ac40e55a65ca5,4022.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,1,0,9,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
